	class	kingdom	order	phylum
OTU_1	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_10	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_100	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_1000	Phycisphaerae	Bacteria	Phycisphaerales	Planctomycetes
OTU_1001	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1002	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_1005	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_1006	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_1009	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_101	Armatimonadia	Bacteria	Armatimonadales	Armatimonadetes
OTU_1010	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_1012	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_1013	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_1014				
OTU_1017	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
OTU_1019	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_102	Planctomycetia	Bacteria	Gemmatales	Planctomycetes
OTU_1020	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_1025	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1027	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_1029				
OTU_103	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_1030	OM190	Bacteria	agg27	Planctomycetes
OTU_1031	Gammaproteobacteria	Bacteria	Legionellales	Proteobacteria
OTU_1033	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1034	Holophagae	Bacteria	Holophagales	Acidobacteria
OTU_1035	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_1037	Deltaproteobacteria	Bacteria	Myxococcales	Proteobacteria
OTU_104	Betaproteobacteria	Bacteria		Proteobacteria
OTU_1044				
OTU_1046	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_1047	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1049	Deltaproteobacteria	Bacteria	Bdellovibrionales	Proteobacteria
OTU_105	Alphaproteobacteria	Bacteria	Kiloniellales	Proteobacteria
OTU_1051				
OTU_1052	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_1054	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1055	Acidobacteria-6	Bacteria	iii1-15	Acidobacteria
OTU_1056	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_1058	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_106	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_1061	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_1062	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1064	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1067	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_1069	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_107	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_1070	Planctomycetia	Bacteria	Gemmatales	Planctomycetes
OTU_1071	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_1072				
OTU_1075	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_1076	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_108	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1080	SC72	Bacteria	WCHB1-15	WS6
OTU_1082	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1083	Deltaproteobacteria	Bacteria	Desulfuromonadales	Proteobacteria
OTU_1084	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1089	Gammaproteobacteria	Bacteria		Proteobacteria
OTU_109	Nostocophycideae	Bacteria	Nostocales	Cyanobacteria
OTU_1093	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_1094	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_1097	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_1098	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_11	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_110	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_1100	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1101	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_1102	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_1104	Planctomycetia	Bacteria	Gemmatales	Planctomycetes
OTU_1106				
OTU_1107	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_1109	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_111	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_1110	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1114	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1115	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
