cluster	kingdom	phylum	class	order
BACL2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
BACL4	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
BACL15	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
BACL6	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
BACL17	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
BACL19	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
BACL27	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
BACL25	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
BACL28	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
BACL10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales
BACL5	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales
BACL20	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales
BACL7	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL11	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL18	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL23	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL8	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL21	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL22	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL29	Bacteria	Bacteriodetes	Flavobacteriia	Flavobacteriales
BACL12	Bacteria	Bacteriodetes	Sphingobacteriia	Sphingobacteriales
BACL14	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales
BACL30	Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales
BACL3	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales
BACL1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales
BACL16	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
BACL26	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
BACL13	Archaea	Thaumarchaeota		
BACL9	Bacteria	Verrucomicrobia	[Methylacidiphilae]	Methylacidiphilales
BACL24	Bacteria	Verrucomicrobia	Optitutae	Opitutales
