contig	length	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_325	404	0	0.250000	0.250000	0	0	0	0	1.242574	0	0	0	0	0.242574	0.391089	0.391089	0	0	0	0.250000	0	2.579209	0.250000	0	0.500001	0	0	0.742575	0.636140	0	0	0.621287	0	1.492572	0	0	0	0
OTU_324	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_327	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_326	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_321	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_320	409	0	0.594132	0.246944	0	0	0	0	0	0.114914	0	0	0	0.088020	0	0	0	0	0	0	0	0	0	0	0	0	2.452321	0.484107	0	0.493888	0	0.970658	0	0.246944	0	0	0.672371	2.843519
OTU_323	402	0	1.233831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320896	0	0	0	0.328358	0	0	0	0.251244	0	0	0	0.502487	0	0	0	0	0	0.502487
OTU_322	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203980	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_484	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_485	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_486	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_379	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_329	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_328	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_482	402	0	0	0	0	0.251244	0	0	0	0	0	0.243781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251244	0	0	0	0	0	0	0	0	0	0	0
OTU_483	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_890	426	0.237089	0	0	0	0.185446	0	0	0	0	0	0	0	0	0.467136	0	0	0	0	0	0	0	0	0.474178	0	0	0	0	0.711267	0	0	0	0	0	0	0	0.145540	0
OTU_718	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118483	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239336	0	0	0.146919	0	0	0	0	0	0
OTU_719	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500000	0	0	0	0	0	0	0	0.099010
OTU_248	427	0	0	0	0	0	0	0	0	0	0	0	0	0.196721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_249	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_246	422	0	0.836493	0	0.239336	0	0.478673	0.239336	0	0	0	0	0	0	0.471564	0	0	0	0	0	0	0	0	0	0	0	0.478673	0	0	0	0	0	0	0	0	0	0	0.239336
OTU_247	427	0	0	0	0	0	0	0	0	0.105386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_244	402	0	1.256219	0	0	0	0.502487	0	0.251244	0.251244	0	0.243781	0	0	0	0	0	0	0	0	0	0.251244	0.251244	1.146767	0	0	0.502488	0.243781	0.502488	0	0	0.753731	0	0	0	0	0.741294	0.753731
OTU_245	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120988	0	0	0	0	0	0	0	0	0	0
OTU_242	422	0	0	0	0	0	0	0.239336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239336
OTU_243	402	0	0	0	0	0.495025	0	0	0.992537	0.746270	0	0	0	0	0.251244	0	0	0	0	0	0	0.502487	0.251244	1.497513	0.251244	0.251244	0.251244	1.256218	1.154228	1.694029	0.738806	1.592040	1.500001	0	0	0	1.248756	1.495025
OTU_240	427	0	0	0	0	0	0	0	8.346603	0	0.473068	0	0	0	0.702577	0.939109	0.229508	0.236534	0.466042	1.871194	0.709601	2.962530	5.377046	0.709601	0.236534	0.236534	0	2.737706	5.669781	0.899298	0	2.128805	1.044497	0.461358	0.236534	0	1.039813	0.236534
OTU_241	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134328	0	0	0
OTU_621	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1203	404	0	5.195542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500001	0	0	0	0	0	0	0	0	0	0
OTU_1204	427	0	0	0	0	0	0	0	0	0	0	0	0	0.199063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1205	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239336	0	0	0	0.478673	2.872040	1.661138	0.478673	0.478673	0.718009	0	0	0	0	0.440758
OTU_1206	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1207	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1209	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_456	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_390	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_391	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_392	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_393	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_394	402	0	0	0	0	0	0	0	8.238808	0	0.502487	0	0	0	0	0	4.751243	0	0	0.835822	0	1.256218	5.661693	10.447760	3.900498	2.283584	0	8.286068	9.865674	9.917903	2.621891	9.935330	3.353238	0.492537	3.567164	0	1.975127	1.741294
OTU_370	405	0	0	0	0	0	0	0	0	0.249383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_396	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_397	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753730	0	0	0	0	0	0	0	0	0.502488	0	0.736318	0	0.502487	0	0	0	0	1.500001	1.248756
OTU_398	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239336	0	0	1.104263	0.718010	3.104263	0.239336	4.184837	0	0	0	0	0	0	0	0	0	0	0	0.471564	0	0	0	0
OTU_399	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196721	0	0	0	0	0	0.236534	0.236534	0.236534	0	0	0	0	0	0.236534	0	0	0	0	0	0	0	0
OTU_371	427	0.222482	0.250585	0	0	0	0	0	1.674473	0	0.096019	0	0	0.182670	0	0	0.929743	0	0	0.784543	0	1.988294	0.466043	0.798595	0.185012	0	0	1.421545	1.798595	1.653395	0.229508	1.060888	0	0.728338	0	0	1.377049	1.414518
OTU_899	421	0	0	0	0	0	0	0	0	0	0	0	0	0.239905	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239905	0	0	0	0	0	0	0	0	0	0
OTU_622	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159204	0	0	0
OTU_487	402	0	0	0.226368	0	0	0	0	0	0	0	0	0	0	0	0.495024	0.502488	0	0	0	0	0	0	0.587065	0	0	0	0.129353	0	0	0	0	0	0	0	0	0	0
OTU_480	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_956	404	0.173267	1.000000	0	0.242574	0	0	0	0	0	0	1.240100	0	0.750001	2.594060	0.245050	0	0	0	0	0.492575	0	0	0	0	0	0.500000	0	0	0	0	0.250000	1.500000	0	0	0	0	0.500000
OTU_481	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_431	427	0	1.182669	0	0	0	0.702575	0	0.236534	0	0	0	0	0	0.227166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_430	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_433	422	0	0	0	0	0.087678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075829	0	0	0
OTU_432	402	0	0	0	0	0	0	0	0	0	0	0	0	0.291046	0	0	0	0	0	0	0	0	0	0.243781	0	0	1.097017	0	0	0.502487	0	0	0	0	0	0	0	1.616915
OTU_435	427	0.700233	1.871194	0.466042	0.386416	0.236534	0.229508	0	0	0	0	0.810303	0	0.236534	0.646371	0	0	0	0	0	0	0.709603	0	0.709601	0.327869	0.229508	2.903980	1.407497	0.229508	1.405151	0	0.622952	0	0	0.440281	0	0.346604	3.978922
OTU_434	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_437	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
