target_id	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_1	23.810697	431.738806	34.277761	55.205970	69.924378	72.665672	12.437811	321.198010	62.473134	69.909950	98.494527	17.910448	261.490547	608.313433	139.439801	168.273632	68.115920	46.522886	237.489055	84.341294	180.062189	204.681592	207.600995	143.642786	82.756716	176.308955	308.114428	240.108955	340.398507	85.001990	276.203483	129.827363	40.805373	81.957711	5.970149	108.594527	242.665672
OTU_2	0.117371	1.877934	0.312989	0.000000	0.469484	0.234742	0.000000	15.330798	1.877934	5.633803	0.117371	0.000000	0.000000	0.938967	0.000000	0.000000	0.000011	0.000000	3.450178	10.269953	19.651690	10.861784	7.452770	0.938967	0.000000	1.173709	1.877934	13.644366	0.469484	0.117371	2.112676	3.755869	6.604742	0.000000	0.000000	2.816901	9.463521
OTU_3	2.227723	11.713416	14.560941	4.847861	6.930693	7.392525		67.951485	3.341584	11.801337	38.758218	3.960396	57.861386	148.801485	8.953960	10.254604	1.265129	8.858762	19.323267	22.377871	53.498020	35.772822	78.206931	7.384455	1.253564	28.487624	36.779307	71.643069	46.790693	18.862129	66.589604	19.559752	36.750693	22.763317	0.099010	18.006931	5.867673
OTU_4	5.198020	5.113168	9.328366	0.000000	0.990099	1.232089		40.964851	1.113861	3.486995	5.510941	0.000000	14.093614	7.826436	0.000000	0.512668	2.530252	0.000000	26.392525	18.858515	73.800000	23.356188	27.546238	10.129406	5.763960	13.589505	10.046139	39.089406	15.260693	0.665252	28.136188	19.873218	31.822624	3.211332	0.099010	5.686386	4.200064
OTU_5	9.275075	88.397512	6.942935	16.465274	7.463383	5.721045		322.804975	10.239154	72.014428	4.401522	0.995025	31.749801	63.786567	23.241144	123.316418	27.779701	25.750597	134.088557	54.562687	162.029851	194.360199	216.609950	133.117413	68.507960	43.865721	236.343284	269.284577	223.091542	67.284577	173.524378	97.552736	56.723881	64.597512	1.990050	135.736318	164.979104
OTU_6	4.427100	0.000000	0.746269	4.975124	2.028811	0.000000	0.000000	5.930697	0.000000	5.453433	0.000000	0.000000	1.990050	0.568721	0.995025	10.418657	0.000000	0.000000	0.547378	1.193811	5.562189	3.896100	100.281592	14.666667	5.546119	9.985672	11.089851	81.597015	24.844378	4.477612	50.098507	17.974279	10.440746	33.289453	0.000000	26.254030	28.177662
OTU_7	32.335025	655.238806	20.197811	26.942090	99.626866	169.439801		7.869751	56.732836	0.000000	25.938358	16.212189	13.973035	34.084975	26.336269	2.218274	10.095473	5.928706	8.365373	2.866657	4.603473	3.197632	18.109154	0.000000	0.000000	119.238806	30.145920	33.719701	15.898308	8.841692	16.149751	15.617214	0.995025	16.502537	13.211592	17.431095	73.449751
OTU_8	0.000000	0.000000	0.497512	0.000000	0.497512	0.000000		1.703960	0.000000	0.497512	0.000000	0.995025	0.000000	0.000000	0.000000	1.719075	0.000000	0.000000	0.000000	0.000000	0.518642	0.995025	2.985075	0.000000	0.000000	0.000000	4.253881	7.847065	3.980100	1.891368	4.106219	4.477612	0.000000	1.990050	0.000000	3.216567	5.339950
OTU_9	0.000000	0.473934	1.917801	1.428692	0.000000	0.000000	0.000000	4.061488	0.000000	0.000000	0.000000	0.473934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.582938	1.421801	9.952607	3.251185	0.000000	0.000000	0.000000	0.474218	0.473934	1.898213	0.473934	0.000000	0.000000	0.947867	1.895735	0.000000	0.000000	0.000000	4.285592
OTU_10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
