Sample_location_no	Label_on_map	Transect_order	Date_swedish_style	Year	Month	Day	Hour	Minute	Latitude	Longitude	Salinity	Temperature	DNA_filtered_volume	DNA_Lugol_sample_no	Utermohl_sample_no	HPLC_no_of_replicates	HPLC_filtered_volume	Picoplankton_sample_no	Comment	Aphanizomenon flos-aquae (Cyanophyceae)	Nodularia spumigena (Cyanophyceae)	Anabaena (Cyanophyceae (new name is Dolichospermum))	Unicell (No taxonomic information)	Ebria tripartita (Ebriophyceae (protozooa, classis insertae sedis))	Flagellates (No taxonomic information)	Dactyliosolen fragilissimus (Bacillariophyceae)	Guinardia flaccida (Bacillariophyceae)	Aphanizomenon (Cyanophyceae)	Pseudanabaena limnetica (Cyanophyceae)	Gymnodiniales (Dinophyceae)	Heterocapsa triquetra (Dinophyceae)	Pyramimonas (Prasinophyceae (Chlorophyta))	Ceratium tripos (Dinophyceae)	Cil 15-20 (Ciliophora, no futher identification)	Proboscia alata (Bacillariophyceae)	Scrippsiella hangoei (Dinophyceae)	Dinophysis acuminata (Dinophyceae)	Chaetoceros wighamii (Bacillariophyceae)	Cil 40-50 (Ciliophora, no futher identification)	Oblea rotunda (Dinophyceae)	Actinocyclus (Bacillariophyceae)	Alexandrium ostenfeldii (Dinophyceae)	Chrysochromulina (Prymnesiophyceae (Haptophyta))	Cylindrotheca closterium (Bacillariophyceae)	Woronichinia (Cyanophyceae)	Mesodinium rubrum (Ciliophora)	Aphanocapsa (Cyanophyceae)	Protoperidinium (Dinophyceae)	Monoraphidium contortum (Chlorophyceae)	Tiarina (Ciliophora)	Guinardia delicatula (Bacillariophyceae)	Chaetoceros impressus (Bacillariophyceae)	Teleaulax (Cryptophyceae)	Plagioselmis prolonga (Cryptophyceae)	Snowella (Cyanophyceae)	Planctonema lauterbornii (Cyanophyceae)	Prorocentrum minimum (Dinophyceae)	Cil 20 (Ciliophora, no futher identification)	Dinophysis norvegica (Dinophyceae)	Cil 30 (Ciliophora, no futher identification)	Aphanothece paralleliformis (Cyanophyceae)	Monoraphidium griffithii (Chlorophyceae)	Cladopyxis claytonii (Dinophyceae)	Cyanodictyon (Cyanophyceae)	Chaetoceros brevis (Bacillariophyceae)	Katablepharis (probably relateed to Cryptophyta)	Lemmermanniella (Cyanophyceae)	Chaetoceros affinis (Bacillariophyceae)	Oocystis (Trebouxiophyceae (Chlorophyta))	Chaetoceros throndsenii v. throndsenii (NA)	Hemiselmis (NA)	Scrippsiella (NA)	Gymnodinium (NA)	Pseudo-nitzschia (NA)	Pyrophacus horologicum (NA)	Ceratium longipes (NA)	Katodinium glaucum (NA)	Leptocylindrus danicus (NA)	Thalassiosira levanderi (NA)	Elakatothrix gelatinosa (NA)	Protoperidinium brevipes (NA)	Eutreptiella (NA)	Dinobryon faculiferum (NA)	Dinobryon divergens (NA)	Pyramimonas virginica (NA)	Attheya septentrionalis (NA)	Protoperidinium steinii (NA)	Chaetoceros (NA)	Heterocapsa rotundata (NA)	Pennales (NA)	Leptocylindrus minimus (NA)	Dictyocha speculum (NA)	Eudorina elegans (NA)	Ceratium fusus (NA)	Telonema (NA)	Leucocryptos marina (NA)	Chaetoceros danicus (NA)	Dinophysis rotundata (NA)	Chaetoceros ceratosporus v. ceratosporus (NA)	Nitzschia paleacea (NA)	Desmodesmus armatus v. armatus (NA)	Diatoma tenuis (NA)	Chaetoceros subtilis v. subtilis (NA)	Gymnodinium simplex (NA)	Chaetoceros crinitus (NA)	Dinobryon (NA)	Paraphysomonas (NA)	Monoraphidium minutum (NA)	Amphidinium sphenoides (NA)	Helicostomella subulata (NA)
1	(X3)	18	41468	2013	7	13	7	8	55.185	13.791	7.25	16.9	200	1	1	NaN	NaN	1	Test W of Bornholm	46.08666193	215.3541009	4.574869894	5.678639712	3.423781761	2.721848057	0	0	0	0	1.051275304	0	0	0	1.866357576	0	0	0	0	0	0	0	0	0	0.271600754	0.206074141	0	0	0	0	0	0	0.906503016	0.981978608	0.375038641	0	1.530314901	0	0	0	0	0	0	0	0	0	0.644309422	0	0	0.065731312	0	0.182705889	0	0	0	0	0	0	0	0	0	0	0	0	0.080572361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	N	16	41468	2013	7	13	9	38	55.434	14.813	7.23	17.4	200	2	2	4	200	2	N. Bornholm	54.49436377	85.79707378	5.794835199	1.465295778	7.852288149	3.022000512	0	0	0	0	3.739178867	0	0	0	0	0	0	0	0	3.190780334	0	0	0	0.823091337	0.271600754	0.749069291	0	0	0	0	0	0	1.133128769	0.081831551	0.075007728	0	0.575718606	0	0	0	0	0	0	0	0	0	0.161077356	0	0	0.052585049	0	0.186240284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	M	15	41468	2013	7	13	13	55	56.032	16.65	6.97	16.9	200	3	3	4	200	3	Olands sodra udde	57.91972377	17.67578603	2.744921937	0.844117613	1.271590078	2.830172119	0	0	0	0	0	0	0.338133365	0	0.373271515	0	0.806072269	0.82249603	0	0	0	2.565717185	0	0.172538284	0.135800377	0	3.831683794	0	0	0	0	0	0	0.081831551	0.075007728	0	0.293733983	0	0	0.541791499	0	0.256261374	0	0	0	0	0.161077356	0	0	0.026292525	0.721365789	0	0	0	0	0	0	0.53310949	0	0	0	0.225986055	0	0.045667847	0.22092696	0	0.148167866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	L	14	41468	2013	7	13	18	0	57.04	17.529	6.79	16.8	200	4	4	4	200	4	Between Oland and Gotland	24.60031279	34.01099279	1.219965305	2.556172927	0.811573858	1.123093481	0	0	0	8.084878036	1.663139205	0	0	0	1.119814546	0	0	0	0	0	0	0	0	0	0.158299859	0.151867036	0	0.10218382	0	0	0	0	0.48864051	0	0.075007728	0.562437112	0	0	0	1.514027985	0	0.058870469	0	0	1.33167874	0	0	0.693717836	0	0.026292525	0	0.011419118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06815486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	H	10	41469	2013	7	14	3	15	59.282	19.898	5.84	16.9	400	5	5	4	400	5	East of Stockholm	28.33706916	3.982571044	1.524956631	4.213343933	2.282521174	1.949009313	0	0	0	1.616975607	0	4.096854911	6.59360062	0	0	0	12.3894439	0.604183728	0	0	0	0.410597477	0	0.603883995	0	0	0	0	0	0	0	0	0	0.081831551	0.075007728	0	0	0	0	0	0	0.058870469	0	0	0.049741743	0	0	0	0	0	0	0.011419118	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203922662	0	0	0	0	0	0	0	0	0	0	0	0	0.057649565	0	0	0	0	0	0	0	0	0.028250611	0	0	0
6	F	8	41469	2013	7	14	10	18	60.744	19.176	5.36	14.5	250	6	6	4	250	6	Southern Bothnian Sea	0	6.898381988	0	2.770553722	0.380420196	6.426799218	0	0	0	0	0	0	0.507200048	0	0	0	0	4.249562819	0.300798451	0	0	0.446762723	0	1.811651986	0	0	0	0	0	0	0	0	0	0.327326203	0.112511592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	E	7	41469	2013	7	14	15	18	61.873	19.718	5.2	15.3	250	7	7	6	250	7	Central Bothnian Sea	9.382061062	3.723831327	0.609982653	2.333233479	0.760840391	2.618503702	0	0	0	0	0	0	0.507200048	0	0	0	0	3.826496942	1.710044711	6.64745903	0	0.645672839	0	0	0	0	0	4.54287867	0	0.044104772	0	0	0	0	0.037503864	0	0	0	0	0	0	0	0.994667878	0	0	0	0	0	0	0.039438787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	D	6	41469	2013	7	14	20	1	62.973	20.251	4.65	15.1	250	8	8	6	250	8	Northern Bothnian Sea	4.528201372	0.07111734	0	2.588551668	0.380420196	0.464021955	0	0	0	0	0	0	2.007272541	0	1.493086061	0	0	2.41673491	1.670857138	0	0	1.485047531	0	0	0	0	0	0.033324787	0	0.117612726	0	0	0	0.163663101	0.450046369	0	0	0	0	0	1.27279319	0	0.142095411	0	0	0	0	0	0	0.210340197	0	0.079933827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012786309	0	0
9	B	3	41470	2013	7	15	4	41	64.643	22.784	2.75	13.3	500	9	9	6	500	9	Bothnian Bay	0.622792729	0	0	2.038833767	0	0.869861068	0	0	0	0	0	0	0	0	0	0	0	0	3.104351674	1.329491806	0	0	0	0	0	0.251817583	0.837500684	0	0	0.617466812	0	0	0	0	0	0	0	0	0	0	0.169705759	0	0	0	0	0	0	0	0	0	0	0.022838236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055906974	0.036181088	0.052364619	0	0	0	0	0	0	0	0	0
10	A	2	41470	2013	7	15	7	44	65.229	23.774	2.21	13.8	250	10	10	6	250	10	Northern Bothnian Bay	0.934189093	0	0.609982653	0.995596795	0	0.607782264	0	0	0	0	0	0	0	0	0	0	2.418216808	0	0.46637583	0	0	0	0	0	0	0	0.04584402	0	0	1.809717391	0	0	0	0	0.712573418	0	0	0	0	0	0.084852879	0	0	0	0	0	0	0	0	0.078877574	0	0.159867653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162387331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
