contig,length,cov_mean_sample_0314,cov_mean_sample_0322,cov_mean_sample_0328,cov_mean_sample_0403,cov_mean_sample_0416,cov_mean_sample_0419,cov_mean_sample_0423,cov_mean_sample_0507,cov_mean_sample_0516,cov_mean_sample_0521,cov_mean_sample_0531,cov_mean_sample_0604,cov_mean_sample_0613,cov_mean_sample_0619,cov_mean_sample_0628,cov_mean_sample_0705,cov_mean_sample_0709,cov_mean_sample_0717,cov_mean_sample_0802,cov_mean_sample_0806,cov_mean_sample_0813,cov_mean_sample_0820,cov_mean_sample_0823,cov_mean_sample_0828,cov_mean_sample_0903,cov_mean_sample_0910,cov_mean_sample_0920,cov_mean_sample_0924,cov_mean_sample_1001,cov_mean_sample_1004,cov_mean_sample_1015,cov_mean_sample_1022,cov_mean_sample_1028,cov_mean_sample_1105,cov_mean_sample_1123,cov_mean_sample_1128,cov_mean_sample_1220
contig-122000376,236,0.605932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.677966,0.0,0.0,0.0,0.427966,8.122883,0.0,0.427966,0.0,0.20339000000000002,0.0,0.0,0.0,0.0,0.0
contig-47000755,2509,0.264248,9.337986,0.709047,1.984055,2.049821,4.178557,0.7620560000000001,1.464728,1.175767,0.248306,3.7445230000000005,1.086489,1.579912,1.9725009999999998,0.201275,0.16102,0.14507799999999998,0.0,0.16102,0.426863,0.711439,0.8278190000000001,0.16500599999999999,0.0,0.0,7.145473,1.805102,0.8389790000000001,0.16102,0.286967,0.768035,0.241531,0.0,1.8003200000000001,0.241531,0.32204099999999997,0.16102
contig-4000108,5856,0.584358,7.083162,1.956284,2.41052,1.888151,4.480536,0.523907,1.311475,0.818818,0.0,4.28381,0.7681020000000001,1.8377740000000002,2.050887,0.42315600000000003,0.092042,0.034494,0.0,0.101947,0.653859,0.2722,0.841017,0.289959,0.0,0.0,6.101776999999999,1.799691,0.583163,0.628246,0.239754,0.9410860000000001,0.26656399999999997,0.034494,0.433572,0.228483,0.48292299999999994,0.103825
contig-98000807,766,1.0104440000000001,1.4712809999999998,0.831592,0.656659,0.0,2.005224,0.0,3.407312,0.0,0.0,0.877285,0.0,0.263708,1.0443870000000002,0.5261100000000001,0.0,0.0,0.0,0.60705,0.143603,0.263707,1.5822459999999998,0.263708,0.0,0.0,4.312014,1.054829,1.6788509999999999,0.527415,0.129243,1.27154,0.195822,0.0,2.635771,0.0,1.109661,0.0
contig-129000462,417,0.0,3.633092,0.726619,2.5491610000000002,2.083936,2.906478,0.0,0.0,0.0,0.0,0.48441300000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211031,0.484412,0.0,0.0,0.0,0.484412,0.0,0.0,0.0,0.0,0.0,3.582735
contig-36000114,750,1.234667,1.034667,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,9.133334,0.276,12.257334,19.191996,0.0,0.0,0.403999,0.0,0.954667,0.515999,2.485334,0.0,0.0,0.0,0.0,2.153334,0.0,0.0,0.0,0.0,2.669335,4.662666000000001,0.0,0.0,0.0,0.0,0.269333
contig-119000338,295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.549153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.369492,0.0,0.342373,1.369492,0.0,0.6847449999999999,4.108478,0.684746,0.0,0.0,0.0,1.352543,0.0,0.0,0.0,0.0,0.342373,0.0,0.0,0.0,0.342373,0.0
contig-27000730,1106,0.36528,0.18264,0.0,0.0,0.0,0.0,0.0,2.247737,0.180832,0.0,0.0,0.0,0.547921,0.18264,0.36528,0.0,0.166365,0.36528,0.597649,0.54792,0.498192,0.8209770000000001,0.4566,0.0,0.0,0.54792,2.8969259999999997,1.5569620000000002,1.0406879999999998,0.54792,1.175406,0.0,0.0,0.490958,0.0,0.18264,0.45660100000000003
contig-23000598,783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.991059,0.372925,0.23371599999999998,0.634738,0.556832,3.194124,0.632185,0.114943,0.6002569999999999,0.904214,0.0,0.0,0.0,0.18901700000000002,0.195402
contig-80000815,3310,0.0,0.10604200000000001,0.091541,0.152568,0.0,0.0,0.0,2.166467,0.0,0.207855,0.0,0.061027,0.28791500000000003,0.509063,0.0,14.272205,0.0,0.0,0.24410900000000002,0.183082,0.061027,1.3425989999999999,1.7580040000000001,6.7722050000000005,2.936859,0.0,8.420549000000001,3.238975,1.827189,0.664954,2.312386,1.070998,0.122054,0.24380700000000002,0.0,2.617222,0.888217
