,,recall,precision,recovery
0.0,0.0,0.8181818181818182,0.7840909090909091,0.7333333333333333
0.0,0.001,0.8095238095238095,0.7738095238095238,0.7
0.0,0.01,0.8333333333333334,0.7722222222222223,0.6
0.0,0.05,0.9166666666666666,0.8472222222222223,0.4
0.005,0.0,0.8888888888888888,0.8672839506172839,0.6
0.005,0.001,0.8888888888888888,0.8672839506172839,0.6
0.005,0.01,0.875,0.8515625,0.5333333333333333
0.005,0.05,1.0,1.0,0.36666666666666664
0.01,0.0,0.8666666666666667,0.8428571428571429,0.5
0.01,0.001,0.8666666666666667,0.8428571428571429,0.5
0.01,0.01,0.8571428571428571,0.8333333333333334,0.4666666666666667
0.01,0.05,0.9166666666666666,0.9333333333333332,0.4
0.02,0.0,0.9166666666666666,0.875,0.4
0.02,0.001,0.9166666666666666,0.875,0.4
0.02,0.01,0.9090909090909091,0.8636363636363636,0.36666666666666664
0.02,0.05,1.0,1.0,0.3333333333333333
0.05,0.0,0.8,0.7,0.16666666666666666
0.05,0.001,0.8,0.7,0.16666666666666666
0.05,0.01,0.8,0.7,0.16666666666666666
0.05,0.05,0.8,0.7,0.16666666666666666
